"property_id","price"
"d56159653f5d2abc5ed5acd7",534170554.428088
"45550aa81c0151f1fd9fd8fe",580701660.741767
"735deef3382aa15930482f3e",575132069.64655
"0dd49fa8bb7be52b851c6dc9",697825549.088205
"7d3220a91e78f8bc2924d1cd",918654341.039957
"d3054072b2175deec2c1f8dc",346938186.862506
"b7574b06d593fca4eac59815",345435937.530411
"79e822115c5c1a4531366001",533418814.102583
"d3ed5316a463d38c1bd321d0",579735823.547913
"2f1880c9b8f7ac2715e1236d",563559472.992815
"dcca1c7f109175760ff531c6",546831822.86963
"dfc4f3facf91bbd93ee0fa4d",394169819.67973
"30e134a6cbe61d7954d0f56b",586128370.255486
"385fee7bd9ad7722d45dd034",573978485.081864
"87199c236bf22903d1aafdd0",558782812.305642
"19e19ad0cd6b5e84d8aa970e",569113439.590562
"907f968e78d748fde69dd44f",518671431.925776
"be094e5db0f784e3aa013aae",456179173.774921
"7ab96f83915bc84f8c03c1bd",649321477.209148
"07f4aa9b9ff5b0b05d31e6c0",510923533.274652
"e9be8cd37abed8ab510ba1f5",625343080.868949
"5f6ad58df27b562db077b5ce",620503623.856311
"ee96d947484aaace40f9b77f",521696137.218134
"15c4aef8401208054697b81e",1199139821.33351
"22d6cb11333f2839b8112b89",729356142.473096
"288c09c33907dadbae495c11",512887762.176964
"f71d2bca0c5fe2720a1544c4",586531738.156217
"451744cf3ce55a98db8a3562",547384160.197288
"fba9ae05a6a8a9e0c6268a9f",605231551.059263
"1338e58f7dcebf5a1ea59388",391758394.279863
"a817e8da0ada143ac87277ee",421559866.042752
"46d8bb3e9a0ca584d3c7a317",735621086.900004
"b2506aa9463aebf01e1e00ca",569891136.352656
"7ec025b9b6e6f33bf65af41b",733762357.006064
"2ff531e27672ecd2362eed55",642010929.588408
"9b3cf0d1b91b9c6a2a887647",559406012.502657
"7db5291ce4602d9b2b266872",507934407.623968
"65d5918e826c33bb950fc008",550708833.01876
"395c34e4b8f52cbdb0522459",659102636.654036
"855f4b67d2bd6d18fd03d8e7",573142076.606444
"9ff06409b37e5b5dece4604a",667622711.003629
"0508cd7bd2c77ebb6fea1e56",710331145.101163
"b45fff2e718e54772d46a3fd",609810942.973497
"cf4d2297b73dbc357d21e31b",588754200.512372
"0ada7044c5b29925abc90879",759187348.504481
"6305f02255274ab5fb6bd39c",526837278.837819
"d9a94194ae1350512beff3e6",752839208.933652
"e3896296cb80d50d9ad3f903",657398534.633115
"6514f355887c64136edb5595",618558870.040119
"f03400cc18e12903b3ffbe5a",673649889.059538
"4e134600155a64783b3f8c3e",694239691.031135
"d63ebc63c82fbf66d8b6ffd3",574534221.169429
"1bd64811bd59706844230198",540470201.20758
"a83921284639eedd4a511cb6",701042761.960226
"a2f3f7a1cd573e2a33f52e2d",801813127.75066
"47344a66471fa51f61c64652",756879375.044635
"78fd849c9429091347d7e5c9",668591883.208549
"c3daf2abea55af99c9579319",589323193.533957
"52864916eb1984abca41ec66",669521613.837308
"c62494a9d7aede44f2f84023",552438901.543789
"a2b576643f7a032371587e5e",691124727.360948
"e53bc68f0e97ccead24f3e56",573333395.891762
"fd82c710aad91bc90af490fe",717765127.113873
"d436abc2ee37ba3dd561e940",579625937.46783
"216a598114a403676011cb51",602275121.430676
"ea230d5eccd2b687888173bb",615505185.24801
"18bd0dd7580f2a7cb19a90b9",519712645.844684
"b143c8ca6d334f6a73c3f2a0",348226397.552674
"ab388cb4fa511968783bafee",649321477.209148
"6a4f08cd04d558a56af732d9",545103703.142097
"7216c895aa047c4f405c4941",693308762.230691
"a493488dcd906dc74cf8a604",587346332.116879
"7844b0b2bc65dced90a355c6",682213683.36127
"c1976383069b6b82ab29d092",662078787.758013
"e5cfd99e2308b7b73581dbdc",531458136.931401
"c18c2ea88f4ac53970b53d2c",866314976.815797
"842c9f0e4edf1e5a672ce15e",573227223.349494
"7dd1e46dcbddc6bf5ef694de",567287771.269417
"6cc4f32b39180bd1ec7e117b",557015736.532956
"79e643789a85dc4ffad49a25",895157075.325359
"b3402a9173d289d6db78e09d",675596591.037194
"a446507813234e358db8b573",491470422.917744
"c8ef57ddfb35061d1876f94e",731136239.451394
"360be0df2c003005e3db080e",645478452.065131
"9ab245a4c91877cb7a8661ce",592254054.273197
"a57a34c7486e7a40e8deb316",556918510.398745
"ceba7d0f56f6cb03538962fb",709903477.202284
"d5475993f9db58c3e4baf7a3",625870114.146924
"d37a1dda09e30da13ff5bfc3",669647811.570774
"68a8b8d077a8232723bf37e9",620503623.856311
"e1eea7716ca6490b7640717a",702925638.789997
"4ae6d75b10848d259ecba576",734079755.408451
"17afbce5c0b56732abbea936",687292066.805546
"84a2673eccd3cf3bd7fd3eb0",669521613.837308
"f2f4e6cbafe527b155707f01",729356142.473096
"de2e3a592cda5b76c9573c5c",665830069.37454
"fac651cf404a58f24dc7d286",778287473.567388
"e6f312a0877af26b69855a3d",492439291.491087
"333a643c623a9bc75f3a40f2",764139790.699404
"64593641e470908ef23b46cb",583834164.498176
"ce9f2f0071be658ae75ca6f9",691124727.360948
"9ab385e399a4673732b6a799",607809934.153629
"3429c774b736cefc051e2c55",815579539.396251
"a51ad0372758b2bbfe73f8fd",590478674.859447
"8c801a266256e3fbabe7e3d2",934469747.477836
"ca2f81b8fb6fda20aefb0ccb",592527562.742227
"3c1b1f86087f9b99380e387c",539350962.868229
"b0cad5d612954b8cab18101c",631950272.260081
"7eb991f4c69215377e4dac8f",583909285.36248
"0d130b8bea4321300396fa34",483505461.733053
"8dfa059401e1dca80ae65ae1",572807196.719771
